source_entity,source_geometry,target_entity,target_geometry,corpus,relation_type,relation_label,explanation,ambiguity_level
State of Rhode Island,Polygon,Providence Plantations,Polygon,The modern geometric borders map flawlessly to the historical colonial land-grant lines down to the final survey marker.,topological,equals,A modern administrative polygon resolving to the exact same coordinates as a historical one.,Level 3
Independent City of St. Louis,Polygon,St. Louis County Municipal Boundary,Polygon,"Operating entirely independently, the municipal limits represent the exact same geographical footprint as the county equivalent.",topological,equals,Two distinct levels of civic administration mapping to an identical footprint.,Level 3
Demilitarized Zone (DMZ),Polygon,1953 Ceasefire Buffer Zone,Polygon,"The physical, fortified perimeter strictly aligns with the mathematical boundaries drafted in the Korean armistice.",topological,equals,A physically constructed polygon seamlessly matching a legally drafted treaty polygon.,Level 3
Geographic South Pole,Point,90 Degrees South Latitude,Point,The physical metallic marker is continuously repositioned to remain perfectly synonymous with the absolute mathematical coordinate.,topological,equals,A physical point geometry updated to perfectly match a mathematical point geometry.,Level 3
Null Island,Point,WGS84 Origin Coordinate,Point,The physical ocean weather buoy is mathematically forced to perfectly match the theoretical geodetic anchor at zero degrees.,topological,equals,A physical maritime object mathematically forced to match a global origin point.,Level 3
Constantinople Walled City (1453),Polygon,Fatih District of Istanbul,Polygon,The defensive geometric perimeter of the historical walled city is topologically identical to the modern municipal borders.,topological,equals,An ancient architectural polygon perfectly matching a modern administrative polygon.,Level 3
Svalbard Treaty Zone,Polygon,Spitsbergen Archipelago,MultiPolygon,The demilitarized legal zone was drafted to map exactly 1:1 with the physical geographic multi-polygon of the islands.,topological,equals,An abstract diplomatic treaty boundary designed to perfectly equate with physical boundaries.,Level 3
Mount McKinley Summit,Point,Denali Summit,Point,"Following the federal renaming, the colonial surveying coordinates were officially reverted to perfectly match the indigenous footprint.",topological,equals,Semantic equality requiring historical context resolving to the exact same physical node.,Level 3
Vatican City,Polygon,Holy See Jurisdiction,Polygon,The physical masonry walls that define the microstate map flawlessly to the sovereign territorial limits recognized by international law.,topological,equals,A physical architectural polygon mapping exactly to a legal diplomatic polygon.,Level 3
Demilitarized Zone (DMZ),Polygon,1953 Korean Armistice Ceasefire Buffer,Polygon,The heavily fortified physical perimeter seamlessly mirrors the theoretical boundaries drafted in the historical military agreement.,topological,equals,A physically constructed military buffer zone perfectly matching a legally codified treaty polygon.,Level 3
North Pole,Point,90 Degrees North Latitude,Point,The floating ice research station marker is periodically re-calibrated to ensure it holds the exact position of the planetary rotation axis.,topological,equals,A moving physical point geometry matched to a fixed mathematical coordinate.,Level 3
International Date Line (Conceptual),LineString,180 Degrees Longitude,LineString,"While the legal navigational boundary zig-zags for convenience, the mathematical line of the 180th meridian serves as the backbone for the conceptual coordinate system.",topological,equals,Two LineStrings that are defined as geometrically synonymous in the geodetic model.,Level 3
Zero Mile Marker (Washington DC),Point,Geographic Anchor of DC,Point,"The physical monument serves as the primary survey anchor for the entire district, occupying the exact same zero-coordinate.",topological,equals,A physical survey monument acting as the absolute mathematical origin.,Level 3
Prime Meridian (Greenwich),LineString,0 Degrees Longitude,LineString,The historic transit circle used for standard timekeeping maps flawlessly to the mathematical geodetic longitude of zero.,topological,equals,An architectural transit line matching the mathematical longitudinal line.,Level 3
Geographic North Pole,Point,Convergence of All Longitude Lines,Point,The physical pole sits precisely at the unique mathematical singularity where every single longitudinal meridian meets.,topological,equals,A point geometry synonymous with the convergence of the meridian grid.,Level 3
WGS84 Ellipsoid Center,Point,Earth Center of Mass,Point,The mathematical geodetic center for GPS systems is designed to resolve flawlessly to the physical center of mass of the planet.,topological,equals,A model-based mathematical point matching the physical center of mass.,Level 3
State of Rhode Island,Polygon,Providence Plantations,Polygon,The modern geometric borders of the smallest state map flawlessly to the historical colonial land-grant lines down to the final survey marker.,topological,equals,A modern administrative polygon and a historical legal polygon resolving to the exact same coordinates.,Level 3
Borough of Manhattan,Polygon,New York County,Polygon,The island's political boundaries are perfectly coextensive with the county lines established by the state.,topological,equals,A borough and a county with perfectly matching boundaries.,Level 4
Borough of Queens,Polygon,Queens County,Polygon,The geometric limits defining the massive borough are completely synonymous with the county limits.,topological,equals,Identical geometries for two different administrative titles.,Level 4
City of London,Polygon,The Square Mile,Polygon,"The ancient, independently governed municipal enclave shares a rigidly exact and identical topological footprint with the financial district colloquially defined by its size.",topological,equals,Two completely different semantic named entities that resolve to the exact same geospatial polygon.,Level 4
City of London,Polygon,The Square Mile,Polygon,"The ancient, independently governed municipal enclave officially known as the City of London shares a rigidly exact and identical topological footprint with the financial district colloquially defined as the Square Mile.",topological,equals,"Two completely different semantic named entities (one historical/administrative, one colloquial/financial) that resolve to the exact same geospatial polygon.",Level 4
Independent City of Baltimore,Polygon,City of Baltimore Municipal Limits,Polygon,"Operating completely outside the county system, the local municipality maps identically to its highest-level administrative tier.",topological,equals,Two distinct legal definitions mapping perfectly to the same urban footprint.,Level 4
Null Island,Point,WGS84 Origin Coordinate,Point,The physical Soul weather buoy moored in the Gulf of Guinea is mathematically forced to perfectly match the theoretical geodetic anchor point at zero degrees latitude and zero degrees longitude.,topological,equals,A physical maritime object forced by human definition to geometrically equate perfectly with an anchor point.,Level 4
Constantinople Walled City (1453),Polygon,Fatih District of Istanbul,Polygon,The defensive geometric perimeter of the historical walled city is topologically identical to the modern administrative borders of the municipal district.,topological,equals,A temporal and cartographic alignment where an ancient architectural polygon perfectly matches a modern municipal polygon.,Level 4
Demilitarized Zone (DMZ),Polygon,1953 Korean Armistice Ceasefire Buffer,Polygon,"The heavily fortified physical perimeter seamlessly mirrors the theoretical boundaries drafted in the historical military agreement, creating a perfect mapping symmetry.",topological,equals,A physically constructed military buffer zone perfectly matching a legally codified treaty polygon.,Level 4
State of Rhode Island,Polygon,Providence Plantations,Polygon,The modern geometric borders of the smallest US state map flawlessly to the historical colonial land-grant lines down to the final survey marker.,topological,equals,A modern administrative polygon and a historical legal polygon resolving to the exact same coordinates.,Level 4
Vatican City,Polygon,Holy See Jurisdiction,Polygon,The physical masonry walls that define the microstate map flawlessly to the sovereign territorial limits recognized by international diplomatic law.,topological,equals,A physical architectural polygon mapping exactly to a legal diplomatic polygon.,Level 4
Geographic South Pole,Point,90 Degrees South Latitude,Point,The physical metallic marker designating the Geographic South Pole on the Antarctic ice sheet is continuously repositioned to remain perfectly synonymous with the absolute mathematical coordinate of 90 degrees south latitude.,topological,equals,A physical infrastructure point geometry that is constantly updated to perfectly match an abstract mathematical point geometry.,Level 4
Null Island,Point,WGS84 Origin Coordinate,Point,The physical Soul weather buoy moored in the Gulf of Guinea is mathematically forced to perfectly match the theoretical WGS84 geodetic anchor point at zero degrees latitude and zero degrees longitude.,topological,equals,A physical maritime object forced by human definition to geometrically equate perfectly with the anchor point of a global coordinate system.,Level 4
Null Island,Point,WGS84 Origin Coordinate,Point,The physical weather buoy moored in the Gulf of Guinea is mathematically forced to perfectly match the theoretical geodetic anchor point at zero degrees latitude and zero degrees longitude.,topological,equals,A physical maritime object forced by human definition to geometrically equate perfectly with an anchor point.,Level 4
Borough of Staten Island,Polygon,Richmond County,Polygon,Two different administrative titles mapped to the exact same island perimeter in the New York harbor.,topological,equals,A borough and a county sharing the precise same coordinates.,Level 5
City of Denver,Polygon,Denver County,Polygon,The mile-high municipal limits completely and perfectly match the administrative footprint of the corresponding county.,topological,equals,A consolidated city-county where the two distinct levels map exactly 1:1.,Level 5
City of Philadelphia,Polygon,Philadelphia County,Polygon,"Operating under a consolidated government, the municipal limits seamlessly mirror the county boundary lines, blending them into one entity.",topological,equals,Two administrative entities covering the exact same topological footprint.,Level 5
City of Carson City,Polygon,Consolidated Municipality of Carson City,Polygon,The borders drawn for the local city government perfectly mirror the borders of the consolidated administrative body.,topological,equals,Consolidated government footprints that match exactly.,Level 5
Geographic South Pole,Point,90 Degrees South Latitude,Point,The physical metallic marker on the ice sheet is continuously repositioned to remain perfectly synonymous with the absolute mathematical coordinate of the planetary axis.,topological,equals,A physical infrastructure point geometry constantly updated to perfectly match an abstract mathematical point.,Level 5
Historical Mount McKinley Summit,Point,Modern Denali Summit,Point,"Following the 2015 federal renaming, the colonial surveying coordinates were officially reverted to perfectly match the indigenous summit footprint down to the millimeter.",topological,equals,Semantic identicalness requiring historical context resolving to the exact same physical node.,Level 5
Svalbard Treaty Zone,Polygon,Spitsbergen Archipelago,MultiPolygon,The international demilitarized legal polygon was drafted to map exactly 1:1 with the physical geographic multi-polygon of the frozen island chain.,topological,equals,An abstract diplomatic treaty boundary designed to perfectly equate with the physical boundaries of an archipelago.,Level 5
Independent City of St. Louis,Polygon,St. Louis County Municipal Boundary,Polygon,"Because it operates entirely independently, the municipal limits represent the exact same geographical footprint as its county-level equivalent.",topological,equals,Two distinct levels of civic administration mapping to a perfectly identical topological footprint.,Level 5
Eiffel Tower Spire Tip,Point,Highest Architectural Node of Paris,Point,The physical lightning rod at the top of the iron lattice maps precisely to the coordinate legally designated as the highest municipal architectural point.,topological,equals,Two separate semantic concepts resolving to the identical 0D node.,Level 5
Svalbard Treaty Zone,Polygon,Spitsbergen Archipelago,MultiPolygon,"The international legal framework established the Svalbard Treaty Zone to perfectly align with the physical geographic boundaries of the Spitsbergen Archipelago, ensuring their administrative perimeters are identical.",topological,equals,An abstract treaty boundary polygon designed to match 1:1 with the irregular coordinates of a physical island chain MultiPolygon.,Level 5
Eiffel Tower Spire Tip,Point,Highest Architectural Node of Paris,Point,The physical lightning rod at the top of the Eiffel Tower spire tip maps precisely to the coordinate designated as the Highest Architectural Node of Paris.,topological,equals,Two separate semantic concepts—a physical landmark feature and a municipal architectural superlative—resolving to the identical 0D node.,Level 5
Demilitarized Zone (DMZ),Polygon,1953 Korean Armistice Ceasefire Buffer,Polygon,"The heavily fortified physical perimeter of the DMZ seamlessly mirrors the theoretical boundaries drafted in the 1953 Korean Armistice Ceasefire Buffer agreement, creating a perfect mapping symmetry.",topological,equals,A physically constructed military buffer zone perfectly matching a legally codified treaty polygon down to the coordinate level.,Level 5
Geographic South Pole,Point,90 Degrees South Latitude,Point,The physical metallic marker is continuously repositioned to remain perfectly synonymous with the absolute mathematical coordinate of the planetary axis.,topological,equals,A physical infrastructure point geometry constantly updated to match an abstract mathematical point.,Level 5
Amazon Rainforest,Polygon,Brazil,Polygon,The Amazon Rainforest sprawls over much of northwestern Brazil but also extends its reach deep into neighboring countries like Peru and Colombia.,topological,overlaps,Two large polygons that share a significant interior area while both retaining exclusive external areas.,Level 1
Sahara Desert,Polygon,Egypt,Polygon,"The Sahara Desert blankets the vast majority of Egypt's landmass, while also sprawling into several other North African nations.",topological,overlaps,An environmental polygon partially intersecting a national administrative polygon.,Level 1
Navajo Nation,Polygon,State of Arizona,Polygon,The tribal lands of the Navajo Nation cover a large portion of northeastern Arizona while holding lands elsewhere.,topological,overlaps,A tribal polygon and a state polygon sharing a massive interior area.,Level 1
Black Forest,Polygon,Baden-Württemberg,Polygon,The dense trees of the Black Forest blanket a large corner of Baden-Württemberg while also stretching into surrounding areas.,topological,overlaps,A forest polygon partially intersecting a regional administrative polygon.,Level 1
Amazon Rainforest,Polygon,Brazil,Polygon,The dense jungle ecosystem blankets much of northwestern Brazil but also extends its reach deep into neighboring countries like Peru and Colombia.,topological,overlaps,Two large polygons sharing a significant interior area while retaining exclusive external areas.,Level 1
Sahara Desert,Polygon,Egypt,Polygon,"The massive arid expanse blankets the vast majority of Egypt's landmass, while also sprawling into several other North African nations.",topological,overlaps,An environmental polygon partially intersecting a national administrative polygon.,Level 1
Navajo Nation,Polygon,State of Arizona,Polygon,The tribal lands cover a large portion of northeastern Arizona while holding lands elsewhere.,topological,overlaps,A tribal polygon and a state polygon sharing a massive interior area.,Level 1
Iberian Peninsula,Polygon,Spain,Polygon,"The physical landmass shares most of its territory with the nation, but also leaves room for Portugal and Andorra.",topological,overlaps,A physical peninsula polygon partially sharing coordinates with a nation.,Level 1
Mojave Desert,Polygon,State of California,Polygon,The arid Mojave Desert covers a large swath of southern California while also extending into Nevada and Arizona.,topological,overlaps,A desert polygon intersecting a state polygon.,Level 1
The Alps,Polygon,Switzerland,Polygon,"The peaks of the Alps dominate the landscape of Switzerland, though the range also stretches into Italy and France.",topological,overlaps,A multinational geological polygon sharing space with a sovereign state polygon.,Level 1
Rocky Mountains,Polygon,State of Colorado,Polygon,"The Rocky Mountains cover a massive section of Colorado, continuing north into Wyoming and beyond.",topological,overlaps,A mountain range polygon partially intersecting a state polygon.,Level 1
Gobi Desert,Polygon,Mongolia,Polygon,The sweeping sands of the Gobi Desert cover the southern half of Mongolia and reach down into northern China.,topological,overlaps,A desert polygon partially overlapping a national polygon.,Level 1
Himalaya Mountains,Polygon,Nepal,Polygon,The massive Himalaya mountain chain covers the northern half of Nepal while extending far across Asia.,topological,overlaps,A massive mountain polygon intersecting a national polygon.,Level 1
Great Victoria Desert,Polygon,Western Australia,Polygon,The Great Victoria Desert covers vast tracts of Western Australia before bleeding over into South Australia.,topological,overlaps,A desert polygon overlapping a state polygon.,Level 1
Sonoran Desert,Polygon,Mexico,Polygon,The scorching Sonoran Desert covers much of northwestern Mexico while extending upwards into the United States.,topological,overlaps,An environmental polygon sharing space with a national polygon.,Level 1
Appalachian Mountains,Polygon,State of Pennsylvania,Polygon,"The mountain range runs directly down the center of Pennsylvania, though the chain continues far past the state's limits.",topological,overlaps,A geological polygon and a state polygon partially sharing coordinates.,Level 1
Yellowstone National Park,Polygon,State of Wyoming,Polygon,The federal lands cover the northwest corner of Wyoming but also spill out into Montana and Idaho.,topological,overlaps,"A federal park polygon largely intersecting a state polygon, but continuing outside it.",Level 1
Andes Mountains,Polygon,Chile,Polygon,The massive mountain range blankets the entire eastern edge of Chile while also sprawling deep into Argentina.,topological,overlaps,A physical geological polygon and a political national polygon partially intersect.,Level 1
Mojave Desert,Polygon,State of California,Polygon,The arid desert covers a large swath of southern California while also extending into Nevada and Arizona.,topological,overlaps,A desert polygon intersecting a state polygon.,Level 1
The Alps,Polygon,Switzerland,Polygon,"The peaks dominate the landscape of Switzerland, though the range also stretches into Italy and France.",topological,overlaps,A multinational geological polygon sharing space with a sovereign state polygon.,Level 1
Rocky Mountains,Polygon,State of Colorado,Polygon,"The mountain range covers a massive section of Colorado, continuing north into Wyoming and beyond.",topological,overlaps,A mountain range polygon partially intersecting a state polygon.,Level 1
Gobi Desert,Polygon,Mongolia,Polygon,The sweeping sands cover the southern half of Mongolia and reach down into northern China.,topological,overlaps,A desert polygon partially intersecting a national polygon.,Level 1
Himalaya Mountains,Polygon,Nepal,Polygon,The massive mountain chain covers the northern half of Nepal while extending far across Asia.,topological,overlaps,A massive mountain polygon intersecting a national polygon.,Level 1
Great Victoria Desert,Polygon,Western Australia,Polygon,The desert covers vast tracts of the state before bleeding over into the neighboring region.,topological,overlaps,A desert polygon sharing space with a state polygon.,Level 1
Sonoran Desert,Polygon,Mexico,Polygon,The scorching desert covers much of northwestern Mexico while extending upwards into the United States.,topological,overlaps,An environmental polygon sharing space with a national polygon.,Level 1
Gulf Stream,LineString,North Atlantic,Polygon,The warm current of water flows through a significant portion of the ocean while also interacting with the coastal shelves.,topological,overlaps,A current line sharing coordinates with a maritime polygon.,Level 1
Congo Basin,Polygon,Democratic Republic of the Congo,Polygon,The dense rainforest covers the bulk of the nation but continues into several neighboring central African countries.,topological,overlaps,An ecological polygon sharing space with a national polygon.,Level 1
Great Barrier Reef,Polygon,Coral Sea,Polygon,The massive living structure covers a significant portion of the maritime zone while continuing along the continental shelf.,topological,overlaps,A natural feature polygon intersecting a maritime zone.,Level 1
Pampas Grassland,Polygon,Argentina,Polygon,The fertile plains cover the center of the nation but also extend into Uruguay and Brazil.,topological,overlaps,A grassland polygon sharing space with a national polygon.,Level 1
Scandinavia,Polygon,Norway,Polygon,The northern cultural and geographic region covers all of the nation while extending to include Sweden and Denmark.,topological,overlaps,A regional polygon partially sharing space with a national one.,Level 1
Navajo Nation,Polygon,State of Arizona,Polygon,"The Navajo Nation reservation spans multiple states, covering a significant portion of northeastern Arizona while holding lands elsewhere.",topological,overlaps,A sovereign tribal polygon and a state polygon share a massive interior area.,Level 2
Sahara Desert,Polygon,Republic of Mali,Polygon,"The arid sands cover the entire northern half of the territory, while the nation itself extends further south into the Sahel.",topological,overlaps,An environmental polygon partially intersecting a national administrative polygon.,Level 2
Tornado Alley,Polygon,State of Oklahoma,Polygon,The dangerous meteorological zone covers the entire state and pushes heavily into the plains of Kansas and Texas.,topological,overlaps,A meteorological zone polygon overlapping a state polygon.,Level 2
Sahara Desert,Polygon,Sahel Region,Polygon,The arid sands mutually blend and share a massive transition zone with the semi-arid regional band.,topological,overlaps,Two massive environmental polygons sharing a vast transitional intersection.,Level 2
Navajo Nation,Polygon,Hopi Reservation,Polygon,"The tribal borders share specific, highly contested joint-use geographical zones in the American southwest.",topological,overlaps,Two tribal administrative polygons featuring partially intersecting boundaries.,Level 2
Falkland Islands EEZ,Polygon,Argentine Sea,Polygon,The projected maritime boundaries clash and mutually share a vast swath of the turbulent South Atlantic ocean.,topological,overlaps,Two abstract legal maritime polygons intersecting across a vast ocean.,Level 2
Tornado Alley,Polygon,State of Oklahoma,Polygon,The dangerous meteorological zone encompasses the entire state while bleeding outward into the surrounding plains.,topological,overlaps,A meteorological zone polygon intersecting heavily with a state polygon.,Level 2
Baden-Württemberg,Polygon,Black Forest,Polygon,"The regional administrative boundary is largely covered by the forest, which also spreads into nearby areas.",topological,overlaps,A forest polygon partially intersecting a regional administrative polygon.,Level 2
Yellowstone National Park,Polygon,State of Wyoming,Polygon,"Yellowstone National Park is primarily located in Wyoming, but its legal borders spill over the boundary into Montana and Idaho.",topological,overlaps,"A federal park polygon largely intersecting a state polygon, but bleeding over into others.",Level 2
Andes Mountains,Polygon,Chile,Polygon,The massive Andes mountain range blankets the entire eastern border region of Chile while also sprawling deep into Argentina.,topological,overlaps,A physical geological polygon and a political national polygon partially intersect.,Level 2
Amazon Basin,Polygon,Peru,Polygon,The dense jungle ecosystem covers the eastern half of the country and extends deep into neighboring Brazil.,topological,overlaps,A massive ecological polygon intersecting a country polygon.,Level 2
Kurdish Inhabited Region,Polygon,Turkey,Polygon,The cultural and demographic zone covers southeastern Turkey while also bleeding heavily into several neighboring nations.,topological,overlaps,A cultural demographic polygon intersecting a national polygon.,Level 2
Mojave Desert,Polygon,State of Nevada,Polygon,The arid ecosystem covers the southern tip of the state and pushes heavily into the adjacent lands of California.,topological,overlaps,A desert polygon partially intersecting a state polygon.,Level 2
The Alps,Polygon,Italy,Polygon,The northern border region is dominated by the snowy peaks that also heavily cover Switzerland and Austria.,topological,overlaps,A multinational geological polygon sharing space with a sovereign state polygon.,Level 2
Kalahari Desert,Polygon,Botswana,Polygon,The sweeping desert covers the vast majority of the country while also taking up significant parts of Namibia and South Africa.,topological,overlaps,A desert polygon partially overlapping a national polygon.,Level 2
Rust Belt,Polygon,State of Ohio,Polygon,The industrial economic region covers the northern manufacturing cities but also spreads across several other midwestern states.,topological,overlaps,An economic region polygon partially intersecting a state polygon.,Level 2
Black Forest,Polygon,State of Baden-Württemberg,Polygon,The dense woodlands dominate the region but also stretch their canopy across nearby international borders.,topological,overlaps,A forest polygon partially intersecting a regional administrative polygon.,Level 2
Nine-Dash Line Claim,Polygon,Philippine Exclusive Economic Zone,Polygon,"The massive, ambiguous maritime claim encroaches upon and shares waters with the internationally recognized zones of Manila.",topological,overlaps,A geopolitical clash where two distinct maritime polygons claim the same space.,Level 2
Abyei Area,Polygon,Republic of Sudan,Polygon,"Operating as a geopolitical condominium, the region ensures the sovereign administrative claims of both nations mutually share jurisdiction.",topological,overlaps,An administrative polygon representing the legalized sharing of two sovereign nations.,Level 2
Kashmir Region,Polygon,Indian Territorial Claim,Polygon,The intensely disputed military zones share the exact same regional mapping on the subcontinent.,topological,overlaps,A contested regional polygon sharing coordinates with a national claim.,Level 2
Rust Belt,Polygon,State of Ohio,Polygon,The industrial economic region shares a massive geographic footprint with the central states of the country.,topological,overlaps,An economic region polygon intersecting a geographic regional polygon.,Level 2
Amazon Basin,Polygon,Andes Mountains Foothills,Polygon,The dense jungle ecosystem bleeds into and shares a geographic footprint with the lower mountainous elevations.,topological,overlaps,Two ecological/geological polygons intersecting over a massive regional transition.,Level 2
Kurdish Inhabited Region,Polygon,Republic of Turkey,Polygon,The cultural and demographic zone shares map space with the southeastern national borders of the country.,topological,overlaps,A cultural demographic polygon sharing space with a sovereign nation.,Level 2
Hala'ib Triangle,Polygon,Egyptian Territorial Claim,Polygon,The contested desert boundary shares a significant geographic zone with the southern sovereign claims made by Cairo.,topological,overlaps,A contested geographic polygon partially intersecting with a national claim polygon.,Level 2
Spratly Islands Maritime Claims,MultiPolygon,Vietnamese Exclusive Economic Zone,Polygon,"The sweeping geopolitical claims clash with the internationally recognized economic zone, creating an area of dual jurisdiction.",topological,overlaps,A legal MultiPolygon encroaching on a continuous maritime Polygon.,Level 2
Gobi Desert,Polygon,China,Polygon,The sweeping sands cover the northern tracts of the country while reaching into Mongolian territory.,topological,overlaps,A desert polygon partially overlapping a national polygon.,Level 2
Great Victoria Desert,Polygon,South Australia,Polygon,The arid sands cover the vast interior of the state before bleeding over into the adjacent territory.,topological,overlaps,A desert polygon overlapping a state polygon.,Level 2
Mediterranean Basin,Polygon,European Union,Polygon,The historical cultural region shares a massive geographic footprint with the member nations of the political bloc.,topological,overlaps,A cultural polygon intersecting a political union polygon.,Level 2
Ring of Fire,Polygon,Pacific Plate,Polygon,The active volcanic zone shares a massive geographic footprint with the tectonic boundaries of the oceanic plate.,topological,overlaps,A geological zone polygon intersecting a tectonic plate polygon.,Level 2
Navajo Nation,Polygon,Hopi Reservation,Polygon,"The borders of the Navajo Nation share specific, highly contested joint-use geographical zones with the Hopi Reservation.",topological,overlaps,Two tribal administrative polygons that feature partially intersecting boundaries and shared internal land areas.,Level 3
Navajo Nation,Polygon,Hopi Reservation,Polygon,"The complex tribal borders share specific, highly contested joint-use geographical zones in the American southwest.",topological,overlaps,Two tribal administrative polygons featuring partially intersecting boundaries.,Level 3
Falkland Islands EEZ,Polygon,Argentine Sea,Polygon,The projected maritime boundaries heavily clash and mutually share a vast swath of the turbulent South Atlantic ocean.,topological,overlaps,Two abstract legal maritime polygons intersecting across a vast ocean.,Level 3
Rust Belt,Polygon,American Midwest,Polygon,The industrial economic region heavily shares a massive geographic footprint with the central states of the country.,topological,overlaps,An economic region polygon heavily intersecting a geographic regional polygon.,Level 3
Black Forest,Polygon,Baden-Württemberg,Polygon,The dense trees blanket a large corner of the region while also stretching into surrounding areas.,topological,overlaps,A forest polygon partially intersecting a regional administrative polygon.,Level 3
Rocky Mountains,Polygon,Canada,Polygon,The geological peaks dominate British Columbia and Alberta while continuing their uninterrupted march south into the United States.,topological,overlaps,A mountain range polygon partially sharing coordinates with a national polygon.,Level 3
Great Rift Valley,Polygon,Kenya,Polygon,"The massive geological trench cuts a wide swath through the nation, though its full length stretches from Lebanon to Mozambique.",topological,overlaps,A geological trench polygon intersecting a national polygon.,Level 3
Hala'ib Triangle,Polygon,Egyptian Territorial Claim,Polygon,"The contested boundary of the Hala'ib Triangle shares a significant geographic zone with the southern sovereign territorial claims made by Egypt, leading to dual administration.",topological,overlaps,"A contested geographic polygon partially intersects with a national claim polygon, leaving areas of mutual and exclusive jurisdiction.",Level 3
The Alps,Polygon,Switzerland,Polygon,"The massive footprint of the Alps blankets a large portion of Switzerland while also sprawling deep into Italy, France, and Austria.",topological,overlaps,A multinational geological polygon and a sovereign state polygon that share a massive interior intersection.,Level 3
Hala'ib Triangle,Polygon,Egyptian Territorial Claim,Polygon,The contested boundary shares a significant contested geographic zone with the southern sovereign claims made by Cairo.,topological,overlaps,A contested geographic polygon partially intersecting with a national claim polygon.,Level 3
The Alps,Polygon,Switzerland,Polygon,The massive multinational geological footprint heavily shares space with the sovereign national territory of the Swiss.,topological,overlaps,A massive multinational geological polygon sharing interior space with a nation.,Level 3
Argentine Antarctica Claim,Polygon,British Antarctic Territory,Polygon,The pie-shaped sovereign territorial claims heavily share the exact same physical wedge of the frozen southern continent.,topological,overlaps,Two sovereign legal polygons mutually projecting over the exact same physical landmass.,Level 3
Nine-Dash Line Claim,Polygon,Philippine Exclusive Economic Zone,Polygon,"The massive, ambiguous maritime claim heavily encroaches upon and shares waters with the internationally recognized zones of Manila.",topological,overlaps,A geopolitical clash where two distinct maritime polygons claim the same space.,Level 3
Abyei Area,Polygon,Republic of Sudan,Polygon,"Operating as a geopolitical condominium, the region ensures sovereign administrative claims mutually share jurisdiction.",topological,overlaps,An administrative polygon representing the legalized sharing of two sovereign nations.,Level 3
Kashmir Region,Polygon,Indian Territorial Claim,Polygon,The intensely disputed military zones heavily share the exact same regional mapping on the subcontinent.,topological,overlaps,A contested regional polygon heavily sharing coordinates with a national claim.,Level 3
Kuril Islands,MultiPolygon,Japanese Territorial Claim,Polygon,The competing diplomatic maps mutually project over the exact same island chain in the Pacific.,topological,overlaps,A physical multi-polygon sharing identical coordinates with a diplomatic claim.,Level 3
Amazon Basin,Polygon,Andes Mountains Foothills,Polygon,The dense jungle ecosystem heavily bleeds into and shares a geographic footprint with the lower mountainous elevations.,topological,overlaps,Two ecological/geological polygons intersecting over a massive regional transition.,Level 3
Kurdish Inhabited Region,Polygon,Republic of Turkey,Polygon,The cultural and demographic zone heavily shares map space with the southeastern national borders of the country.,topological,overlaps,A cultural demographic polygon sharing space with a sovereign nation.,Level 3
Abyei Area,Polygon,Republic of Sudan,Polygon,"Operating as a geopolitical condominium, the region ensures the sovereign administrative claims of both Khartoum and Juba legally and spatially share a highly contested jurisdiction.",topological,overlaps,An administrative polygon representing the legalized sharing of two sovereign nations.,Level 3
Tornado Alley,Polygon,State of Oklahoma,Polygon,The dangerous meteorological zone heavily encompasses the entire state while bleeding outward into the surrounding plains.,topological,overlaps,A meteorological zone polygon intersecting heavily with a state polygon.,Level 4
Rust Belt,Polygon,American Midwest,Polygon,The historical industrial economic region heavily shares a massive geographic footprint with the central states of the country.,topological,overlaps,An economic region polygon heavily intersecting a geographic regional polygon.,Level 4
Falkland Islands EEZ,Polygon,Argentine Sea,Polygon,The 200-nautical-mile Exclusive Economic Zone projected outward from the Falkland Islands deeply intrudes into the sovereign maritime territory defined as the Argentine Sea.,topological,overlaps,Two abstract legal maritime polygons that clash and intersect across a vast swath of the South Atlantic Ocean.,Level 4
Baarle-Hertog Municipality,MultiPolygon,Baarle-Nassau Municipality,MultiPolygon,The incredibly fractured cadastral borders of the Belgian and Dutch towns result in a macro-regional footprint where both sovereign domains extensively interweave and mutually share a regional zone.,topological,overlaps,An extreme anomaly where dozens of micro-enclaves cause two national MultiPolygons to heavily intersect in a shared zone.,Level 4
Historical Roman Empire (AD 117),Polygon,Modern European Union,Polygon,Geospatial mapping reveals that the maximum territorial extent of the ancient historical footprint heavily encroaches upon the vast majority of the modern sovereign boundaries of the political bloc.,topological,overlaps,A temporal-geospatial overlap between an extinct historical polygon and a modern administrative polygon.,Level 4
Nine-Dash Line Claim,Polygon,Philippine Exclusive Economic Zone (EEZ),Polygon,"The massive, highly ambiguous maritime polygon claimed by Beijing heavily encroaches upon and shares waters with the internationally recognized zones of Manila.",topological,overlaps,A geopolitical clash where two distinct maritime polygons claim the same space.,Level 4
Kashmir Region,Polygon,Indian Territorial Claim,Polygon,The intensely disputed military zones heavily share the exact same regional mapping as the sovereign claims broadcast by New Delhi.,topological,overlaps,A contested regional polygon heavily sharing coordinates with a national claim.,Level 4
Amazon Basin,Polygon,Andes Mountains Foothills,Polygon,The dense jungle ecosystem heavily bleeds into and shares a geographic footprint with the lower mountainous elevations in South America.,topological,overlaps,Two ecological/geological polygons intersecting over a massive regional transition.,Level 4
